Symbol,Name,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
AAN,Aaron's Inc.,20.39,20.59,20.13,20.27,0.07,0.35,1112692,24.32,16.4,0.05,0.25,14.58,9.65
ABT,Abbott Laboratories,47.85,48.13,47.26,47.87,0.7,1.48,8049990,56.79,43.45,1.76,3.68,13.96,-11.34
ANF,Abercrombie&Fitch,34.98,35.62,34.22,35.6,1.44,4.22,3571962,51.12,22.7,0.7,1.97,52.35,2.15
ABVT,AboveNet,45.89,47.05,45.75,46.7,2.08,4.66,258846,67,32.01,,,4.46,-28.2
AKR,Acadia Realty Trust,17.64,18.24,17.43,18.24,1,5.8,226802,19.8,11.55,0.72,3.95,30.92,8.12
ACN,Accenture Cl A,38.05,38.34,37.61,38.25,0.84,2.25,5282355,44.67,16.4,0.75,1.96,16.35,-7.83
AH,Accretive Health,13.02,13.29,12.95,13,-0.02,-0.15,343301,14.16,12.55,,,65,
ATV,Acorn International ADS,4.02,4.06,3.93,3.97,0.02,0.51,56435,7.3,3.04,,,,-16.07
ATU,Actuant Cl A,19.99,20.44,19.77,20.42,0.89,4.56,424455,23.87,10.2,0.04,0.2,52.36,10.2
AYI,Acuity Brands,41.74,42.05,41.31,42,1.18,2.89,328906,47.91,24.84,0.52,1.24,21.88,17.85
ASF,Administaff,24.55,24.68,24.05,24.43,0.46,1.92,206158,28.07,16.45,0.52,2.13,58.17,3.56
PVD,A.F.P. Provida ADS,42.09,43.1,42.09,43.1,1.01,2.4,3078,51.13,23.15,5.17,,5.94,-4.56
AEA,Advance America Cash Advance Centers,4.94,5.07,4.87,5.06,0.23,4.76,420462,7.45,3.48,0.25,4.94,5.95,-8.99
AAP,Advance Auto Parts,50.88,51.37,50.48,51.33,1.13,2.25,1106895,51.37,36.11,0.24,0.47,16.04,26.8
AMD,Advanced Micro Devices,8.45,8.8,8.4,8.8,0.58,7.06,24219172,10.24,3.22,,,7.59,-9.09
ASX,Advanced Semiconductor Engineering ADS,4.22,4.31,4.21,4.31,0.12,2.86,665908,5.23,2.56,0.08,,61.57,-2.71
AAV,Advantage Oil&Gas,5.84,6.02,5.83,5.99,0.29,5.09,347610,8.07,3.46,,,,-8.13
ATE,Advantest ADS,22.76,22.88,22.45,22.75,0.71,3.22,2567,28.36,16.9,,,,-12.73
ACM,AECOM Technology,24.84,25.67,24.62,25.66,1.26,5.16,855052,33.2,24.03,,,13.95,-6.69
ANW,Aegean Marine Petroleum Network,23.23,23.44,22.86,23.29,0.72,3.19,399152,35.05,14.23,0.04,0.17,17.64,-15.25
AEG,Aegon ADS,5.65,5.88,5.62,5.87,0.51,9.51,1030147,9.29,5.13,,,34.53,-8.42
AER,AerCap Holdings,11.68,11.99,11.65,11.8,0.51,4.52,407326,14.41,6.05,,,5.93,30.24
ARO,Aeropostale,27.71,28.08,27.03,27.74,0.6,2.21,4330459,32.24,19.1,,,11.32,22.2
AET,Aetna,29.17,29.22,28.67,29.21,0.64,2.24,2886648,35.96,22.24,0.04,0.14,9.27,-7.85
AMG,Affiliated Managers Group,70.86,73.71,70.59,73.68,4.06,5.83,600528,88.01,51.95,,,45.76,9.4
A,Agilent Technologies,32.21,32.78,32.11,32.75,1.26,4,2674505,37.43,17.5,,,59.55,5.41
AEM,Agnico-Eagle Mines,58.55,59.5,58.27,59.01,1.09,1.88,2492152,74,47.31,0.18,0.31,98.35,9.28
ADC,Agree Realty,23.49,24.28,23.39,24.14,1.16,5.05,124687,28.15,16.13,2.04,8.45,11.5,3.65
AGU,Agrium Inc.,54.57,56.13,54.57,56.13,2.74,5.13,1743916,73.85,35.27,0.11,0.2,21.1,-8.73
APD,Air Products&Chemicals,69.83,70.68,68.48,70.68,2.1,3.06,2180653,85.44,60.52,1.96,2.77,17.71,-12.81
AYR,Aircastle,9.65,10.03,9.49,10.03,0.7,7.5,476627,12.38,6.27,0.4,3.99,7.84,1.83
ARG,Airgas,63.15,63.47,62.34,63.33,1.1,1.77,1150678,66.06,36.68,0.88,1.39,27.06,33.05
AAI,AirTran Holdings,5.6,5.72,5.53,5.7,0.2,3.64,2902575,7.47,4.05,,,10,9.2
ALG,Alamo Group,22.53,24.49,22.18,24.45,2.46,11.19,93564,27.05,9.77,0.24,0.98,13.74,42.57
ALK,Alaska Air Group,47.5,49.05,47.13,48.7,1.98,4.24,816728,49.05,14.91,,,12.08,40.91
AIN,Albany International Cl A,19.04,19.27,18.79,19.24,0.73,3.94,307888,26.09,9.92,0.48,2.49,962,-14.34
ALB,Albemarle,42.48,43.27,41.94,43.27,1.82,4.39,616551,46.97,23.31,0.56,1.29,18.49,18.97
ACV,Alberto-Culver,27.73,27.79,27.34,27.66,0.15,0.55,435933,30.04,22.33,0.34,1.23,22.13,-5.57
ALU,Alcatel-Lucent ADS,2.53,2.63,2.49,2.63,0.27,11.44,34049133,4.95,2.01,,,,-20.78
AA,Alcoa,11.62,11.84,11.27,11.82,0.57,5.07,25599061,17.6,8.91,0.12,1.02,,-26.67
ACL,Alcon,137.5,140.28,137,140.21,5.21,3.86,2323686,166.71,102.4,3.95,2.82,19.92,-14.69
ALEX,Alexander&Baldwin,32.77,32.89,32.3,32.74,0.78,2.44,170556,37.42,22.03,1.26,3.85,66.82,-4.35
ALX,Alexander's Inc.,315.5,320.84,305.69,318.65,8.84,2.85,16039,340,240.19,2.5,,16.08,4.67
ARE,Alexandria Real Estate Equities,64.51,66.69,63.84,66.6,3.68,5.85,344825,75.18,30.33,1.4,,31.87,3.59
Y,Alleghany,286,294.99,286,293.64,9.63,3.39,16495,305.84,242.17,,,9.98,8.52
AYE,Allegheny Energy,19.99,20.27,19.81,20.24,0.51,2.58,2023805,27.7,18.96,0.6,2.96,9.92,-13.8
ATI,Allegheny Technologies,53.21,55.14,52.75,55.08,3.76,7.33,2037260,58.25,25.8,0.72,1.31,125.18,23.03
AGN,Allergan,59.27,59.65,58.84,59.64,1.36,2.33,1648544,65.87,43.01,0.2,0.34,24.64,-5.35
ALE,Allete,34.57,34.82,34.24,34.78,0.73,2.14,104606,37.87,26.11,1.76,5.06,17.22,6.43
ADS,Alliance Data Systems,70.96,71.97,70.54,71.87,2.46,3.54,1125434,78.19,36.3,,,22.46,11.27
AIQ,Alliance HealthCare Services,5.34,5.56,5.25,5.56,0.32,6.11,92249,7.65,4.69,,,,-2.63
AOI,Alliance One International,4.49,4.56,4.42,4.55,0.15,3.41,307237,5.96,3.61,,,4.64,-6.76
AB,AllianceBernstein Holding,28.52,29.13,28.13,29.11,1.52,5.51,334065,35,17.83,2.16,7.42,13.35,3.59
LNT,Alliant Energy,31.79,32.1,31.57,32.06,0.84,2.69,835098,35.77,23.34,1.58,4.93,43.92,5.95
ATK,Alliant Techsystems,68.6,69.44,68.56,69.36,1.41,2.08,509886,91.39,67.76,,,8.33,-21.42
AIB,Allied Irish Banks ADS,2.6,2.7,2.55,2.7,0.19,7.57,4913063,10.42,2.17,,,,-23.08
AWH,Allied World Assurance Holdings,44.16,45.49,43.86,45.4,1.74,3.99,363251,49.76,36.51,0.8,1.76,3.91,-1.45
ALY,Allis-Chalmers Energy,2.85,3.06,2.85,3.06,0.28,10.07,261880,4.94,2,,,,-18.83
ALL,Allstate,30.02,30.79,29.96,30.77,1.24,4.2,4012750,35.51,22.82,0.8,2.6,13.38,2.43
ALJ,Alon USA Energy,6.63,6.76,6.55,6.76,0.24,3.68,93852,14.07,6.36,0.16,2.37,,-1.17
ANR,Alpha Natural Resources,37,38.43,36.51,38.4,3.07,8.69,3176989,55.7,21.86,,,213.33,-11.48
MO,Altria Group,20.45,20.63,20.31,20.54,0.38,1.88,26706699,21.91,16.1,1.4,6.82,12.52,4.64
AWC,Alumina ADS,5.61,5.84,5.6,5.84,0.63,12.09,545969,7.74,3.88,0.07,,,-10.84
ACH,Aluminum of China ADS,20.78,21.62,20.66,21.62,2.01,10.25,822519,34.27,18.03,,,,-20.66
ABK,AMBAC Financial Group,0.97,0.97,0.93,0.95,0.03,3.7,9103447,3.39,0.51,,,,14.48
ABV,Companhia de Bebidas das Americas ADS,96.01,97.47,95.95,97.41,2.56,2.7,951224,107.5,61.95,3.18,3.26,17.74,-3.64
ABVC,Companhia de Bebidas das Americas ADS,79.98,82.07,79.78,81.8,2.85,3.61,28798,93.22,50.08,3.5,,,-5.27
DOX,Amdocs,28.85,29.19,28.73,28.84,0.41,1.44,2377226,32.44,19.88,,,18.14,1.09
AEE,Ameren,24.3,24.48,24.15,24.41,0.5,2.09,1436495,28.67,22.72,1.54,6.31,9.5,-12.67
AMX,America Movil ADS,47.44,48.4,47.31,48.4,1.91,4.11,4839590,52.53,34.22,0.76,1.57,13.05,3.02
AXL,American Axle&Manufacturing Holdings,9.08,9.27,8.84,9.26,0.63,7.3,2697803,12.12,1.11,,,,15.46
ACC,American Campus Communities,26.7,27.38,26.33,27.33,1.31,5.03,1009107,30.56,19.33,1.35,4.94,911,-2.74
ADY,American Dairy,16.52,17.17,16.5,17.09,0.82,5.04,90285,44,15.51,,,,-21.17
AEO,American Eagle Outfitters,12.81,13.02,12.53,12.84,0.02,0.16,14552309,19.86,12.53,0.4,3.12,17.35,-24.38
AEP,American Electric Power,31.48,32,31.32,31.99,0.97,3.13,4105127,36.86,25.39,1.68,5.25,10.96,-8.05
AEL,American Equity Investment Life Holding,9.39,9.76,9.3,9.76,0.59,6.43,236840,11.47,4.7,0.08,0.82,10.38,31.18
AXP,American Express,39.03,40.42,39.03,40.33,2.16,5.66,14631784,49.19,22,0.72,1.79,20.58,-0.47
AFG,American Financial Group,27.47,28.14,27.47,28.12,1.07,3.96,550542,30.25,20.4,0.55,1.96,6.28,12.71
AM,American Greetings Cl A,23.62,24.3,23.25,24.28,1.31,5.7,290021,26.21,6.11,0.56,2.31,11.96,11.43
AIG,American International Group,35.01,36.46,34.59,36.46,2.41,7.08,8019749,55.9,8.22,,,,21.61
AIGA,American International Group Corporate Un,8.78,9.36,8.78,9.34,0.24,2.64,55542,13.75,6.12,6.38,68.31,,-17.56
AOB,American Oriental Bioengineering,3.08,3.14,3.01,3.13,0.12,3.99,1023145,6.38,2.8,,,6.66,-32.69
ARL,American Realty Investors,8.39,8.88,8.39,8.83,0.33,3.88,8060,14.05,7.6,,,,-27.92
ARP,American Reprographics,9.46,9.87,9.4,9.86,0.67,7.29,97995,11.31,5.11,,,,40.66
ASI,American Safety Insurance Holdings,15.89,16.11,15.6,16.11,0.57,3.67,39699,17.44,12,,,6.74,11.49
AWR,American States Water,34.64,34.75,34.05,34.72,0.85,2.51,95080,39.61,30.82,1.04,3,19.4,-1.95
AMT,American Tower Cl A,40.3,41.02,40.02,40.99,1.24,3.12,3104854,45,29.02,,,60.28,-5.14
AVD,American Vanguard,7.92,8.12,7.82,8.12,0.38,4.91,82803,12.01,6.28,0.02,0.25,,-2.17
AWK,American Water Works,20.3,20.34,20.1,20.28,0.28,1.4,532386,23.77,16.55,0.84,4.14,14.8,-9.5
ACF,AmeriCredit,21.4,22.02,21.34,22,1.09,5.21,981348,26.49,11.15,,,18.18,15.55
APU,AmeriGas Partners,39.07,39.64,38.79,39.54,0.99,2.57,55192,43.3,31.29,2.82,7.13,13.78,0.53
AGP,AMERIGROUP,34.94,35.39,34.72,35.36,0.97,2.82,406968,37.01,20.87,,,11.87,31.16
AMP,Ameriprise Financial,39.49,40.99,39.13,40.94,2.22,5.73,3462277,49.54,21.6,0.72,1.76,13.51,5.46
ABC,AmerisourceBergen,30.88,31.59,30.85,31.57,1.13,3.71,4144856,31.96,17.38,0.32,1.01,15.86,21.1
AMN,Ameron International,64.66,66.61,63.88,66.45,3.02,4.76,34222,91.66,50.44,1.2,1.81,20.57,4.71
AME,Ametek,40.76,41.42,40.48,41.42,1.35,3.37,461580,44.38,30.09,0.24,0.58,21.92,8.32
AP,Ampco-Pittsburgh,22.93,23.67,22.49,23.64,1.37,6.15,64281,33.3,20,0.72,3.05,8.47,-25.02
APH,Amphenol Cl A,42.13,43.03,41.92,42.99,1.77,4.29,935386,47.83,30.59,0.06,0.14,22.05,-6.91
AXR,Amrep,13.14,13.82,13.14,13.66,0.2,1.49,4459,16.94,9.7,,,,-0.29
APC,Anadarko Petroleum,55.73,57.57,54.8,55.57,2.23,4.18,12778907,75.07,40.28,0.36,0.65,29.4,-10.97
ADI,Analog Devices,29.02,29.72,28.95,29.72,1.24,4.35,5626022,32.19,23.21,0.88,2.96,19.55,-5.89
AU,AngloGold Ashanti ADS,42.16,42.8,41.99,42.45,0.17,0.4,2023372,47.52,32.77,0.17,0.4,,5.65
BUD,Anheuser-Busch InBev ADS,47.98,49.28,47.65,49.28,3.08,6.67,548596,53.7,43.19,0.53,,,-5.29
AXE,Anixter International,47.63,48.05,47.19,48.04,1.36,2.91,432634,54.16,31.57,,,,2
ANN,Ann Taylor Stores,21.68,22.04,21.35,22.03,1.01,4.8,2368621,25.24,6.33,,,244.78,61.51
NLY,Annaly Capital Management,16.53,16.77,16.41,16.76,0.53,3.27,13132489,19.74,13.67,2.69,16.05,4.99,-3.4
ANH,Anworth Mortgage Asset,6.62,6.74,6.56,6.73,0.21,3.22,2003180,8.34,5.74,1.08,16.05,6.06,-3.86
APA,Apache,90.4,91.97,90.05,91.84,4.03,4.59,6532736,111,65.02,0.6,0.65,14.33,-10.98
AIV,Apartment Investment&Management,20.09,20.95,19.88,20.91,1.36,6.96,2662791,24.21,7.36,0.4,1.91,,31.34
ARI,Apollo Commercial Real Estate Finance,16.78,17.13,16.78,17.07,0.47,2.83,64101,19.2,16.25,0.7,,,-5.11
AIT,Applied Industrial Technologies,27.6,28.05,27.31,28.02,1.15,4.28,148440,33,18.11,0.6,2.14,40.03,26.96
ATR,Aptargroup,39.45,39.96,39.29,39.95,1.38,3.58,266343,44.36,30.07,0.6,1.5,20.92,11.78
WTR,Aqua America,17.38,17.57,17.29,17.39,0.24,1.4,710354,18.73,15.39,0.58,3.34,22.29,-0.69
ARB,Arbitron,29.92,30.89,29.92,30.8,1.09,3.67,126197,33.52,14.87,0.4,1.3,19.01,31.51
ABR,Arbor Realty Trust,3.56,3.64,3.39,3.62,0.25,7.42,92569,4.78,1.5,,,,81.91
MT,ArcelorMittal ADS,30.59,31.47,30.23,31.44,2.37,8.15,7994198,49.41,27.46,0.75,2.39,28.58,-31.28
ARJ,Arch Chemicals,33,34.92,32.77,34.83,2.68,8.34,162571,37.66,22.38,0.8,2.3,17.33,12.79
ACI,Arch Coal,21.04,21.59,20.8,21.57,1.23,6.05,4721969,28.52,13.01,0.4,1.85,431.4,-3.06
ADM,Archer Daniels Midland,25.08,25.44,24.98,25.43,0.56,2.25,5363325,33,24.22,0.6,2.36,10.47,-18.78
ADMA,Archer Daniels Midland Un,36.27,36.46,36,36.39,0.57,1.59,58843,51.81,33.8,3.13,8.6,,-16.56
ARD,Arena Resources,31.55,32.51,31.53,32.5,1.62,5.25,2046220,45.72,26.52,,,23.72,-24.63
AI,Arlington Asset Investment Cl A,18.48,18.88,17.97,18.86,0.69,3.83,17863,21.25,6.2,0.7,,4.49,23.83
AWI,Armstrong World Industries,36.01,37.96,35.74,37.96,2.35,6.6,209964,45.45,15.05,,,31.11,-2.49
ARW,Arrow Electronics,27.09,27.9,26.86,27.87,1.28,4.81,1470264,32.5,19.57,,,18.46,-5.88
ART,Artio Global Investors Cl A,18.43,18.53,18,18.4,0.14,0.77,311906,28.1,17.28,0.12,,,-27.81
ARM,ArvinMeritor,13.98,14.95,13.86,14.91,1.46,10.86,4379381,17.22,2.25,,,,33.36
ABG,Asbury Automotive Group,13.25,13.7,13.13,13.39,0.53,4.12,332325,16.92,8.35,,,15.22,16.13
AHT,Ashford Hospitality Trust,7.34,7.89,7.34,7.84,0.73,10.27,1491265,9.67,2.15,,,,68.97
ASH,Ashland Inc.,53.34,55.66,52.8,55.66,4.14,8.04,1473442,63.73,23.7,0.6,1.08,16.57,40.48
AHL,Aspen Insurance Holdings,24.63,25.53,24.62,25.47,1.06,4.34,1242364,29.46,21.07,0.6,2.36,,0.08
ALC,Assisted Living Concepts Cl A,33.16,35.24,32.82,34.92,2.6,8.04,28022,37.48,12.98,,,25.87,32.42
AEC,Associated Estates Realty,13.68,13.92,13.31,13.87,0.49,3.66,562077,14.72,4.96,0.68,4.9,,23.07
AIZ,Assurant,34.73,35.35,34.73,35.3,1.11,3.25,1951123,37.55,21.65,0.64,1.81,8.23,19.74
AGO,Assured Guaranty,16.13,17.34,16.08,17.3,1.49,9.42,6420182,28.14,10.28,0.18,1.04,,-20.5
AF,Astoria Financial,14.72,15.24,14.6,15.24,0.81,5.61,1138417,17.55,7.25,0.52,3.41,46.18,22.61
AZN,AstraZeneca ADS,41.24,41.86,41.17,41.85,0.94,2.3,1899190,50.7,40.06,2.3,5.5,7.32,-10.84
AHD,Atlas Pipeline Holdings,4.58,4.69,4.37,4.47,0.07,1.59,345695,7.45,2.7,0.06,,,-34.07
APL,Atlas Pipeline Partners,10.43,10.77,10.17,10.39,0.44,4.42,708923,14.99,5,0.6,,,5.91
ATO,Atmos Energy,26.94,27.16,26.81,27.13,0.58,2.18,394822,30.32,23.44,1.34,4.94,13.3,-7.72
ATW,Atwood Oceanics,27.75,28.18,27.05,28.15,1.09,4.03,1336914,40.58,21.4,,,7.33,-21.48
ALV,Autoliv,47.65,49.15,47.61,49.11,3.02,6.55,1269423,58.34,24.9,0.3,,21.92,13.26
ALVZ,Autoliv Un,64.53,65.4,64.53,65.4,3.28,5.28,1400,77.74,36.5,1.67,,,9.68
AN,AutoNation,19.58,20.06,19.36,20.05,1,5.25,2682560,21.6,15.13,,,14.74,4.7
AZO,AutoZone,192,192.43,191.3,192,1.82,0.96,977981,195.75,135.13,,,13.98,21.47
AVB,Avalonbay Communities,96.61,99.77,95.8,99.64,4.86,5.13,1567222,110.16,49.97,3.57,3.58,150.97,21.35
AVY,Avery Dennison,34.03,34.65,33.65,34.64,1.26,3.77,1043471,43.33,23.75,0.8,2.31,17.86,-5.07
CAR,Avis Budget Group,11.44,12.47,11.29,12.4,1.41,12.83,5154956,16.85,4.05,,,,-5.49
AVA,Avista,19.33,19.39,19.12,19.34,0.34,1.79,224893,22.44,15.46,1,5.17,11.31,-10.42
AV,Aviva ADS,9.28,9.62,9.24,9.6,0.86,9.84,20874,15.05,8.49,0.45,,,-26.55
AVT,Avnet,27.99,29.13,27.75,29.1,1.81,6.63,1688216,34.09,19.89,,,18.77,-3.51
AVP,Avon Products,26.52,27.06,26.51,27.06,0.88,3.36,4934735,36.39,25,0.88,3.25,21.48,-14.1
AXS,Axis Capital Holdings,29.48,30.54,29.41,30.52,1.33,4.56,1403206,32.47,22.93,0.84,2.75,10.11,7.43
BGS,B&G Foods Cl A,10.5,10.67,10.35,10.67,0.42,4.1,190789,11.22,4.15,0.68,6.37,38.11,16.23
BBT,BB&T,30.73,31.12,30.31,31.08,0.96,3.19,5682945,35.72,19.83,0.6,1.93,32.72,22.51
BFR,BBVA Banco Frances ADS,5.44,5.75,5.34,5.74,0.29,5.32,1386988,8.15,3.51,0.06,,8.44,-8.74
BCE,BCE,28.84,29.37,28.83,29.32,0.98,3.46,1128539,31.24,19.91,1.74,,12.27,6.19
BHP,BHP Billiton ADS,65.84,66.93,65.08,66.93,4.76,7.66,6505282,83.2,49.07,1.66,2.48,19.98,-12.6
BBL,BHP Billiton ADS,55.83,56.92,55.23,56.91,4.37,8.32,3352565,71.27,41.24,1.66,2.92,16.94,-10.87
BJ,BJ's Wholesale Club,39.65,39.75,39.04,39.61,0.63,1.62,1413490,39.96,29.73,,,16.04,21.09
BP,BP ADS,45.2,45.57,44.35,45.38,2.97,7,55763493,62.38,40.61,3.36,7.4,7.15,-21.72
BPT,BP Prudhoe Bay Royalty Trust,93.1,94.5,92.38,93.45,3,3.32,136025,105.89,63.25,9.26,9.91,11.59,12.86
BPZ,BPZ Resources,5.1,5.28,5.04,5.19,0.39,8.13,1745298,9.98,4.31,,,,-45.37
BRE,BRE Properties,40.45,41.69,40.01,41.63,2.32,5.9,982164,43.5,20.01,1.5,3.6,109.55,25.85
BRFS,BRF-Brazil Foods ADS,12.75,13.09,12.72,13.07,0.31,2.43,1378332,14.27,8.96,0.07,,38.44,-0.17
BRT,BRT Realty Trust,6,6.29,5.89,6.03,0.15,2.55,33714,7.25,2.76,,,,18.24
FLY,Babcock&Brown Air ADS,11.26,11.59,11.2,11.56,0.56,5.09,75173,12.88,6.29,0.8,6.92,5.96,28.59
BMI,Badger Meter,38.85,39.74,38.46,39.71,1.9,5.03,72380,44.9,32.58,0.48,1.21,23.64,-0.28
BHI,Baker Hughes,41.65,42.09,40.05,41.09,0.45,1.11,10445801,54.8,33.11,0.6,1.46,36.36,1.51
BEZ,Baldor Electric,34.82,36.84,34.82,36.77,2.33,6.77,394945,40.97,20.66,0.68,1.85,45.4,30.9
BLL,Ball,48.79,49.79,48.78,49.75,1.6,3.32,999993,55.65,38.18,0.4,0.8,11.9,-3.77
BYI,Bally Technologies,41.38,42.78,41.23,42.74,2.38,5.9,1008996,47.47,25.44,,,20.35,3.51
BALT,Baltic Trading,12.23,12.64,12.17,12.6,0.5,4.13,194755,14.5,11.07,,,,
BBVA,Banco Bilbao Vizcaya Argentaria ADS,10.23,10.64,10.13,10.62,0.77,7.82,4501422,19.78,9.36,0.59,5.56,5.74,-41.13
BBD,Banco Bradesco ADS,16.22,16.61,16.05,16.61,0.86,5.46,10969177,20.64,11.96,0.41,2.47,13.18,-16.46
BCH,Banco de Chile ADS,57.51,59.5,57.51,59.25,1.87,3.26,11131,65.41,39.76,3.9,6.58,15.97,9.93
BLX,Banco Latinoamericano de Comercio Exterior Cl E,13.1,13.28,12.94,13.07,0.19,1.48,416864,16.48,11.8,0.6,4.59,8.71,-5.97
BMA,Banco Macro ADS,24.8,27.25,24.8,26.98,2.33,9.45,104055,33.85,13,0.65,2.41,9.34,-9.34
BSBR,Banco Santander Brazil ADS,10.72,10.92,10.47,10.92,0.68,6.64,6643689,14.58,9.82,0.2,,,-21.66
SAN,Banco Santander-Chile ADS,62.19,63.59,61.42,63.48,3.34,5.55,218668,72.03,40.03,2.67,4.21,12.77,-2.01
STD,Banco Santander ADS,10.09,10.43,9.96,10.43,0.55,5.57,29357085,17.89,9.17,0.84,8.05,7.35,-36.56
CIB,BanColombia ADS,46.24,47.59,46.16,47.59,1.95,4.27,330844,49.7,28.23,1.34,2.82,13.96,4.57
BXS,BancorpSouth,19.57,19.84,19.45,19.79,0.62,3.23,469378,25.19,17.55,0.88,4.45,27.11,-15.64
BAC,Bank of America,15.81,16.2,15.59,16.18,0.71,4.59,163189074,19.86,10.57,0.04,0.25,,7.44
BAC%A,Bank of America Wt,8.75,9.14,8.72,9.14,0.58,6.78,492028,11.41,7.85,,,,
BAC%B,Bank of America Wt,3.5,3.6,3.39,3.6,0.26,7.78,1897918,4.94,2.75,,,,
BOH,Bank of Hawaii,48.33,48.8,47.92,48.77,1.07,2.24,394794,54.1,33.65,1.8,3.69,14.65,3.63
IRE,Governor&the Bank of Ireland ADS,5.1,5.34,4.93,5.31,0.44,9.03,3330770,20.18,4.3,,,,-30.68
BMO,Bank of Montreal,57.78,59.37,57.5,59.33,2.85,5.05,1133444,65.68,37.44,2.8,,13.58,11.77
BK,Bank of New York Mellon,27.96,28.1,27.63,28.03,0.69,2.52,9877224,32.65,25.8,0.36,1.28,,0.21
BNS,Bank of Nova Scotia,46.8,47.26,45.86,46.46,0.23,0.5,777570,52.62,33.67,1.96,,14.56,-0.6
BBX,BankAtlantic Bancorp Cl A,1.94,1.99,1.86,1.95,0.15,8.33,584386,6.68,1.14,,,,50
BCS,Barclays ADS,17.75,18.18,17.5,18.18,1.32,7.83,2889342,25.68,15.94,0.15,0.83,12.2,3.3
BCR,C.R. Bard,80.95,81.59,80.45,81.59,1.44,1.8,606327,90,70.1,0.68,0.83,17.32,4.74
BKS,Barnes&Noble,19.57,20.4,19.5,20.38,1.32,6.93,540275,28.78,16.11,1,4.91,18.04,6.87
B,Barnes Group,18.68,19.13,18.63,19.11,0.86,4.71,330214,22.4,10.85,0.32,1.67,26.92,13.08
BBG,Bill Barrett,31.73,32.51,31.5,32.49,1.68,5.45,764764,37.81,24.4,,,30.94,4.44
ABX,Barrick Gold,42.22,42.92,42.13,42.44,0.63,1.51,7668226,48.02,30.67,0.4,0.94,,7.77
BAS,Basic Energy Services,8.06,8.24,7.93,8.19,0.41,5.27,288203,11.34,5.78,,,,-7.98
BAX,Baxter International,42,42.12,41.41,42.07,0.57,1.37,4926678,61.88,40.48,1.16,2.76,15.88,-28.31
BTE,Baytex Energy Trust Un,30.01,31.13,29.8,31.07,2,6.88,204273,36.31,14.77,2.16,,27.25,9.79
BZH,Beazer Homes USA,5.1,5.15,4.95,5.11,0.22,4.5,3013203,7.08,1.36,,,3.73,5.58
BEC,Beckman Coulter,57.65,58.55,57.33,58.55,1.69,2.97,440556,71.57,53.03,0.72,1.23,24.4,-10.53
